Kode,Nama Bahan,description
CR049,"Lamtoro varietas, lokal dengan kulit"," termasuk dalam kategori Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 336 kalori, 23.8 gram protein, 1.2 gram lemak, 59.7 gram karbohidrat, dan 15.4 gram serat."
CR050,"Nangka, biji, segar"," termasuk dalam kategori Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 165 kalori, 4.2 gram protein, 0.1 gram lemak, 36.7 gram karbohidrat, dan 1.8 gram serat."
CP001,"Kacang belimbing, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 204 kalori, 16.9 gram protein, 8.8 gram lemak, 17.5 gram karbohidrat, dan 4.8 gram serat."
CP002,"Kacang bogor, goreng"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 479 kalori, 12.7 gram protein, 23.2 gram lemak, 58.9 gram karbohidrat, dan 1.2 gram serat."
CP003,"Kacang bogor, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 161 kalori, 7.7 gram protein, 2.8 gram lemak, 27.1 gram karbohidrat, dan 2.0 gram serat."
CP004,"Kacang gude, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 147 kalori, 9.0 gram protein, 0.5 gram lemak, 27.5 gram karbohidrat, dan 3.4 gram serat."
CP005,"kacang hijau, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 109 kalori, 8.7 gram protein, 0.5 gram lemak, 18.3 gram karbohidrat, dan 1.5 gram serat."
CP006,"Kacang kedelai, goreng"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 521 kalori, 32.2 gram protein, 37.7 gram lemak, 22.9 gram karbohidrat, dan 7.6 gram serat."
CP007,"Kacang kedelai, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 189 kalori, 20.2 gram protein, 8.2 gram lemak, 12.7 gram karbohidrat, dan 1.6 gram serat."
CP008,"Kacang merah kering, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 158 kalori, 10.3 gram protein, 0.9 gram lemak, 28.2 gram karbohidrat, dan 2.6 gram serat."
CP009,"Kacang merah segar, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 144 kalori, 10.0 gram protein, 1.0 gram lemak, 24.7 gram karbohidrat, dan 3.5 gram serat."
CP010,"Kacang mete/biji jambu monyet, goreng"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 629 kalori, 20.4 gram protein, 56.3 gram lemak, 19.8 gram karbohidrat, dan 1.1 gram serat."
CP011,Kacang tanah rebus dg kulit," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 360 kalori, 13.5 gram protein, 31.2 gram lemak, 12.8 gram karbohidrat, dan 0.0 gram serat."
CP012,"Kacang tanah, goreng"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 564 kalori, 25.5 gram protein, 44.4 gram lemak, 25.5 gram karbohidrat, dan 2.8 gram serat."
CP013,"Kacang tanah, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 220 kalori, 10.6 gram protein, 18.0 gram lemak, 8.0 gram karbohidrat, dan 1.0 gram serat."
CP014,"Kacang tolo, rebus"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 138 kalori, 10.7 gram protein, 1.1 gram lemak, 22.6 gram karbohidrat, dan 0.9 gram serat."
CP015,Ampas kacang hijau," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 96 kalori, 3.7 gram protein, 0.6 gram lemak, 19.1 gram karbohidrat, dan 2.7 gram serat."
CP017,Ampas tahu kukus," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 75 kalori, 4.1 gram protein, 2.1 gram lemak, 10.7 gram karbohidrat, dan 5.1 gram serat."
CP018,"Ampas tahu, kering"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 414 kalori, 26.6 gram protein, 18.3 gram lemak, 41.3 gram karbohidrat, dan 0.0 gram serat."
CP019,Pepea oncom ampas tahu," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 76 kalori, 5.2 gram protein, 1.8 gram lemak, 10.6 gram karbohidrat, dan 2.2 gram serat."
CP020,Bungkil biji karet," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 333 kalori, 29.3 gram protein, 3.3 gram lemak, 50.0 gram karbohidrat, dan 0.0 gram serat."
CP021,Bungkil kacang tanah," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 336 kalori, 37.4 gram protein, 13.0 gram lemak, 30.5 gram karbohidrat, dan 0.0 gram serat."
CP022,Bungkil kelapa," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 368 kalori, 23.0 gram protein, 15.0 gram lemak, 40.0 gram karbohidrat, dan 0.0 gram serat."
CP023,Dodol banjarmasin," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 368 kalori, 2.6 gram protein, 8.6 gram lemak, 70.0 gram karbohidrat, dan 0.5 gram serat."
CP024,Emping (kerupuk melinjo)," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 345 kalori, 12.0 gram protein, 1.5 gram lemak, 71.5 gram karbohidrat, dan 0.0 gram serat."
CP025,Emping komak," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 355 kalori, 17.8 gram protein, 4.6 gram lemak, 60.7 gram karbohidrat, dan 0.0 gram serat."
CP026,Enting-enting gepuk hello kity," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 538 kalori, 13.6 gram protein, 30.3 gram lemak, 52.6 gram karbohidrat, dan 0.2 gram serat."
CP027,Enting-enting gepuk kacang tanah," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 524 kalori, 13.3 gram protein, 29.2 gram lemak, 52.0 gram karbohidrat, dan 0.2 gram serat."
CP028,Enting-enting wijen," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 565 kalori, 18.2 gram protein, 38.4 gram lemak, 36.8 gram karbohidrat, dan 1.9 gram serat."
CP029,Geplak," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 350 kalori, 1.4 gram protein, 14.4 gram lemak, 53.6 gram karbohidrat, dan 1.8 gram serat."
CP030,Geplak jahe," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 462 kalori, 3.1 gram protein, 24.4 gram lemak, 57.7 gram karbohidrat, dan 3.3 gram serat."
CP031,Kacang atom," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 533 kalori, 27.8 gram protein, 38.1 gram lemak, 28.8 gram karbohidrat, dan 2.5 gram serat."
CP032,Kacang goyang," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 516 kalori, 14.7 gram protein, 31.1 gram lemak, 44.4 gram karbohidrat, dan 0.0 gram serat."
CP033,Kacang negara," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 480 kalori, 18.4 gram protein, 19.1 gram lemak, 58.5 gram karbohidrat, dan 11.7 gram serat."
CP034,Kacang sukro," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 484 kalori, 8.8 gram protein, 26.1 gram lemak, 57.7 gram karbohidrat, dan 1.8 gram serat."
CP035,Kacang tanah sari," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 561 kalori, 25.5 gram protein, 43.8 gram lemak, 26.0 gram karbohidrat, dan 2.2 gram serat."
CP036,Keju kacang tanah (peanut butter)," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 590 kalori, 27.0 gram protein, 49.0 gram lemak, 20.9 gram karbohidrat, dan 1.6 gram serat."
CP037,Kembang tahu," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 380 kalori, 48.9 gram protein, 13.8 gram lemak, 23.3 gram karbohidrat, dan 0.0 gram serat."
CP038,Kembang tahu rebus," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 90 kalori, 10.7 gram protein, 4.0 gram lemak, 4.7 gram karbohidrat, dan 0.0 gram serat."
CP039,Keripik oncom," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 598 kalori, 8.3 gram protein, 43.8 gram lemak, 42.6 gram karbohidrat, dan 3.3 gram serat."
CP040,Keripik tempe," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 581 kalori, 12.1 gram protein, 40.6 gram lemak, 41.7 gram karbohidrat, dan 2.2 gram serat."
CP041,Keripik tempe abadi besar," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 556 kalori, 15.8 gram protein, 37.1 gram lemak, 39.8 gram karbohidrat, dan 3.5 gram serat."
CP042,Keripik tempe abadi murni," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 542 kalori, 40.3 gram protein, 42.4 gram lemak, 11.6 gram karbohidrat, dan 2.2 gram serat."
CP043,Keripik tempe abadi sedang," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 510 kalori, 12.3 gram protein, 27.9 gram lemak, 52.4 gram karbohidrat, dan 3.6 gram serat."
CP044,Keripik tempe abadi telur," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 529 kalori, 20.8 gram protein, 31.7 gram lemak, 40.2 gram karbohidrat, dan 3.0 gram serat."
CP045,Kerupik tempe abadi prima," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 540 kalori, 16.7 gram protein, 33.9 gram lemak, 42.0 gram karbohidrat, dan 2.2 gram serat."
CP046,Kwaci," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 515 kalori, 30.6 gram protein, 42.1 gram lemak, 13.8 gram karbohidrat, dan 13.6 gram serat."
CP047,Melinjo emping tebal goreng manis," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 439 kalori, 10.0 gram protein, 16.4 gram lemak, 65.7 gram karbohidrat, dan 0.0 gram serat."
CP048,"Melinjo emping tebal, goreng asin"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 431 kalori, 11.1 gram protein, 16.2 gram lemak, 63.0 gram karbohidrat, dan 0.0 gram serat."
CP049,Melinjo emping tipis goreng," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 485 kalori, 11.5 gram protein, 24.5 gram lemak, 59.1 gram karbohidrat, dan 0.0 gram serat."
CP050,Moon tahu," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 128 kalori, 8.0 gram protein, 10.0 gram lemak, 1.3 gram karbohidrat, dan 0.2 gram serat."
CP051,Oncom," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 187 kalori, 13.0 gram protein, 6.0 gram lemak, 22.6 gram karbohidrat, dan 0.0 gram serat."
CP052,Oncom ampas kacang hijau," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 376 kalori, 14.9 gram protein, 6.0 gram lemak, 65.7 gram karbohidrat, dan 12.3 gram serat."
CP053,Oncom kacang hijau + singkong," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 351 kalori, 11.0 gram protein, 5.3 gram lemak, 65.9 gram karbohidrat, dan 9.0 gram serat."
CP054,Oncom kacang tanah pepes," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 132 kalori, 12.7 gram protein, 3.8 gram lemak, 13.7 gram karbohidrat, dan 3.1 gram serat."
CP055,Rempeyek kacang tanah," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 513 kalori, 17.5 gram protein, 32.5 gram lemak, 44.3 gram karbohidrat, dan 1.7 gram serat."
CP056,Rempeyek kacang tolo," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 451 kalori, 11.2 gram protein, 20.2 gram lemak, 59.7 gram karbohidrat, dan 1.8 gram serat."
CP057,Rempeyek kacang uci," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 497 kalori, 17.0 gram protein, 27.6 gram lemak, 50.8 gram karbohidrat, dan 2.4 gram serat."
CP058,Sayur lebui," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 64 kalori, 2.1 gram protein, 0.6 gram lemak, 12.5 gram karbohidrat, dan 5.7 gram serat."
CP059,"Saridele, bubuk"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 344 kalori, 30.0 gram protein, 20.0 gram lemak, 43.0 gram karbohidrat, dan 6.2 gram serat."
CP060,Susu kedelai," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 41 kalori, 3.5 gram protein, 2.5 gram lemak, 5.0 gram karbohidrat, dan 0.2 gram serat."
CP062,Tahu goreng," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 115 kalori, 9.7 gram protein, 8.5 gram lemak, 2.5 gram karbohidrat, dan 0.1 gram serat."
CP063,Tahu telur," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 328 kalori, 12.6 gram protein, 19.9 gram lemak, 24.6 gram karbohidrat, dan 0.4 gram serat."
CP064,Takwa," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 148 kalori, 13.8 gram protein, 8.5 gram lemak, 4.0 gram karbohidrat, dan 0.0 gram serat."
CP065,Tauco," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 184 kalori, 11.4 gram protein, 5.5 gram lemak, 22.2 gram karbohidrat, dan 1.9 gram serat."
CP066,"Tauco cap beruang, cake"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 347 kalori, 7.4 gram protein, 5.2 gram lemak, 67.6 gram karbohidrat, dan 3.2 gram serat."
CP067,"Tauco cap DAS, cake"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 358 kalori, 7.5 gram protein, 4.3 gram lemak, 70.4 gram karbohidrat, dan 3.1 gram serat."
CP068,Tauco cap meong," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 159 kalori, 7.4 gram protein, 4.9 gram lemak, 21.3 gram karbohidrat, dan 1.6 gram serat."
CP069,Tauji cap singa," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 277 kalori, 9.1 gram protein, 4.7 gram lemak, 49.6 gram karbohidrat, dan 1.2 gram serat."
CP070,Tempe bongkrek," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 119 kalori, 4.4 gram protein, 3.5 gram lemak, 18.3 gram karbohidrat, dan 0.0 gram serat."
CP071,Tempe gembus P3G," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 73 kalori, 5.7 gram protein, 1.3 gram lemak, 10.3 gram karbohidrat, dan 4.2 gram serat."
CP072,Tempe gembus yogya," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 76 kalori, 6.8 gram protein, 0.7 gram lemak, 10.6 gram karbohidrat, dan 5.3 gram serat."
CP073,Tempe kacang babi," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 139 kalori, 12.5 gram protein, 0.8 gram lemak, 21.9 gram karbohidrat, dan 1.8 gram serat."
CP074,Tempe kacang belimbing," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 212 kalori, 17.5 gram protein, 10.0 gram lemak, 12.9 gram karbohidrat, dan 2.9 gram serat."
CP075,Tempe kedelai + jagung," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 143 kalori, 12.0 gram protein, 5.5 gram lemak, 11.4 gram karbohidrat, dan 1.9 gram serat."
CP076,"Tempe kedelai murni, goreng"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 350 kalori, 24.5 gram protein, 26.6 gram lemak, 10.4 gram karbohidrat, dan 4.2 gram serat."
CP078,Tempe koro benguk," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 141 kalori, 10.2 gram protein, 1.3 gram lemak, 23.2 gram karbohidrat, dan 0.0 gram serat."
CP079,Tempe lamtoro," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 128 kalori, 10.7 gram protein, 0.5 gram lemak, 21.3 gram karbohidrat, dan 7.1 gram serat."
CP080,"Tempe lamtoro varietas, gung dengan kulit"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 146 kalori, 11.7 gram protein, 2.3 gram lemak, 19.6 gram karbohidrat, dan 7.6 gram serat."
CP081,"Tempe lamtoro varietas, gung tanpa kulit"," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 131 kalori, 18.0 gram protein, 0.8 gram lemak, 13.0 gram karbohidrat, dan 1.3 gram serat."
CP082,Tempe pasar," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 150 kalori, 14.0 gram protein, 7.7 gram lemak, 9.1 gram karbohidrat, dan 1.4 gram serat."
CP083,Tempe pasar goreng," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 336 kalori, 20.0 gram protein, 28.0 gram lemak, 7.8 gram karbohidrat, dan 3.4 gram serat."
CP084,Tepung hunkwe (pati kacang ijo)," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 364 kalori, 4.5 gram protein, 1.0 gram lemak, 83.5 gram karbohidrat, dan 16.1 gram serat."
CP085,Tepung Jalejo," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 388 kalori, 19.0 gram protein, 7.5 gram lemak, 61.2 gram karbohidrat, dan 5.8 gram serat."
CP086,Tepung kacang kedelai," termasuk dalam kategori Olahan Kacang-Kacangan. Bahan ini per 100 gram-nya memiliki 347 kalori, 35.9 gram protein, 20.6 gram lemak, 29.9 gram karbohidrat, dan 5.8 gram serat."
DR001,"Akar tonjong, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 45 kalori, 1.1 gram protein, 0.4 gram lemak, 10.8 gram karbohidrat, dan 1.2 gram serat."
DR002,"Ale,toge, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 37 kalori, 4.4 gram protein, 0.5 gram lemak, 3.8 gram karbohidrat, dan 1.7 gram serat."
DR003,"Andaliman, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 99 kalori, 4.6 gram protein, 1.0 gram lemak, 18.0 gram karbohidrat, dan 8.5 gram serat."
DR004,"Andewi, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 226 kalori, 1.6 gram protein, 0.2 gram lemak, 5.3 gram karbohidrat, dan 4.1 gram serat."
DR005,"Bakung, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 27 kalori, 2.0 gram protein, 0.2 gram lemak, 4.2 gram karbohidrat, dan 3.8 gram serat."
DR006,"Baligo, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 15 kalori, 0.4 gram protein, 0.2 gram lemak, 3.0 gram karbohidrat, dan 0.4 gram serat."
DR007,"Bawang bombay, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 43 kalori, 1.4 gram protein, 0.2 gram lemak, 10.3 gram karbohidrat, dan 2.0 gram serat."
DR008,"Bayam, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 16 kalori, 0.9 gram protein, 0.4 gram lemak, 2.9 gram karbohidrat, dan 0.7 gram serat."
DR009,"Bayam merah, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 41 kalori, 2.2 gram protein, 0.8 gram lemak, 6.3 gram karbohidrat, dan 2.2 gram serat."
DR010,"Bit, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 41 kalori, 1.6 gram protein, 0.1 gram lemak, 9.6 gram karbohidrat, dan 2.6 gram serat."
DR011,Buah kelor," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 38 kalori, 1.5 gram protein, 0.2 gram lemak, 7.5 gram karbohidrat, dan 3.2 gram serat."
DR012,Buah merah," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 87 kalori, 2.6 gram protein, 2.7 gram lemak, 13.1 gram karbohidrat, dan 4.0 gram serat."
DR013,"Buncis, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 34 kalori, 2.4 gram protein, 0.3 gram lemak, 7.2 gram karbohidrat, dan 1.9 gram serat."
DR014,"Bunga pepaya, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 45 kalori, 2.6 gram protein, 0.3 gram lemak, 8.1 gram karbohidrat, dan 1.6 gram serat."
DR015,"Bunga turi, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 42 kalori, 2.0 gram protein, 1.1 gram lemak, 6.1 gram karbohidrat, dan 3.3 gram serat."
DR016,"Caisin, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 20 kalori, 1.7 gram protein, 0.4 gram lemak, 3.4 gram karbohidrat, dan 1.2 gram serat."
DR017,"Daun bangun-bangun, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 27 kalori, 1.3 gram protein, 0.6 gram lemak, 4.0 gram karbohidrat, dan 1.0 gram serat."
DR018,"Daun bawang  merah, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 41 kalori, 2.0 gram protein, 0.3 gram lemak, 7.8 gram karbohidrat, dan 2.1 gram serat."
DR019,"Daun bebuas, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 41 kalori, 2.7 gram protein, 1.0 gram lemak, 7.3 gram karbohidrat, dan 2.1 gram serat."
DR020,"Daun belem, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 50 kalori, 4.4 gram protein, 1.4 gram lemak, 7.8 gram karbohidrat, dan 1.9 gram serat."
DR021,"Daun bluntas, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 44 kalori, 1.8 gram protein, 0.5 gram lemak, 9.4 gram karbohidrat, dan 0.0 gram serat."
DR022,"Daun gandaria, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 63 kalori, 3.1 gram protein, 0.3 gram lemak, 14.0 gram karbohidrat, dan 2.1 gram serat."
DR023,"Daun gedi besar, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 58 kalori, 2.9 gram protein, 0.7 gram lemak, 10.0 gram karbohidrat, dan 3.3 gram serat."
DR024,"Daun gedi kecil, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 61 kalori, 3.2 gram protein, 0.7 gram lemak, 10.4 gram karbohidrat, dan 3.4 gram serat."
DR025,"Daun gelang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 30 kalori, 1.3 gram protein, 0.7 gram lemak, 5.8 gram karbohidrat, dan 1.3 gram serat."
DR026,"Daun gunda bali,segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 50 kalori, 4.6 gram protein, 0.9 gram lemak, 7.0 gram karbohidrat, dan 1.4 gram serat."
DR027,"Daun gunda serang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 62 kalori, 4.2 gram protein, 0.9 gram lemak, 9.2 gram karbohidrat, dan 1.3 gram serat."
DR028,"Daun jambu mete muda, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 78 kalori, 4.6 gram protein, 0.5 gram lemak, 16.2 gram karbohidrat, dan 3.0 gram serat."
DR029,"Daun jampang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 34 kalori, 3.8 gram protein, 0.5 gram lemak, 5.3 gram karbohidrat, dan 1.4 gram serat."
DR030,"Daun jawaw seluang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 93 kalori, 5.0 gram protein, 1.3 gram lemak, 15.3 gram karbohidrat, dan 3.9 gram serat."
DR031,"Daun jonghe, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 27 kalori, 2.1 gram protein, 0.7 gram lemak, 4.4 gram karbohidrat, dan 2.0 gram serat."
DR032,"Daun kacang ma, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 36 kalori, 2.9 gram protein, 0.6 gram lemak, 6.8 gram karbohidrat, dan 1.8 gram serat."
DR033,"Daun kacang panjang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 30 kalori, 3.1 gram protein, 0.3 gram lemak, 5.8 gram karbohidrat, dan 1.7 gram serat."
DR034,"Daun kasbi/singkong karet, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 92 kalori, 4.0 gram protein, 3.6 gram lemak, 10.9 gram karbohidrat, dan 5.8 gram serat."
DR035,"Daun katuk, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 59 kalori, 6.4 gram protein, 1.0 gram lemak, 9.9 gram karbohidrat, dan 1.5 gram serat."
DR036,"Daun kecipir, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 52 kalori, 5.0 gram protein, 0.5 gram lemak, 8.5 gram karbohidrat, dan 0.0 gram serat."
DR037,"Daun kedondong, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 59 kalori, 3.5 gram protein, 0.3 gram lemak, 13.4 gram karbohidrat, dan 10.7 gram serat."
DR038,"Daun kelor, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 92 kalori, 5.1 gram protein, 1.6 gram lemak, 14.3 gram karbohidrat, dan 8.2 gram serat."
DR039,"Daun kemang, segar"," termasuk dalam kategori Sayuran. Bahan ini per 100 gram-nya memiliki 43 kalori, 5.5 gram protein, 0.3 gram lemak, 7.5 gram karbohidrat, dan 8.4 gram serat."
